username,transacion_date,amount
christopherroberts,2023-03-10 16:07:17.000000,524.02
marymoore,2023-03-01 09:01:29.000000,451.02
jamie25,2023-02-01 03:42:52.000000,215.08
steven98,2022-12-21 10:56:22.000000,898.54
christopher53,2023-03-27 06:09:40.000000,337.25
vlopez,2023-03-08 17:47:14.000000,422.08
johnwyatt,2023-03-29 06:03:27.000000,945.68
jdaugherty,2023-03-20 08:36:30.000000,821.98
lawrence20,2023-01-03 16:38:43.000000,811.53
emily65,2023-03-24 15:54:43.000000,944.59
morenocraig,2022-12-19 23:47:14.000000,590.03
patrick05,2022-12-14 15:43:32.000000,824.94
brownjohn,2022-12-30 10:51:16.000000,890.52
grahamjames,2023-03-02 16:45:02.000000,151.79
laurie97,2023-03-05 00:10:13.000000,143.74
margaret56,2023-03-29 02:53:03.000000,888.95
kelly15,2023-03-17 19:03:27.000000,990.04
mckinneycynthia,2022-12-23 05:53:17.000000,562.31
curtis05,2023-01-14 01:59:18.000000,168.0
powelllaura,2023-04-01 18:26:30.000000,568.17
ynguyen,2023-03-31 10:09:18.000000,430.74
pcox,2022-12-24 20:26:45.000000,120.54
along,2022-12-16 21:55:49.000000,260.58
moonmary,2023-01-12 08:23:38.000000,335.84
jmoreno,2023-01-27 03:07:44.000000,470.69
obrienjennifer,2022-12-23 01:20:42.000000,302.86
sherryhill,2023-02-10 23:35:16.000000,184.4
danielle84,2023-03-21 20:20:36.000000,143.97
arosario,2023-02-04 18:57:02.000000,365.66
jason01,2023-03-06 23:15:58.000000,450.43
mark07,2022-12-20 19:48:46.000000,104.22
alexisward,2023-03-31 16:43:21.000000,206.94
nathan74,2022-12-17 19:05:56.000000,379.34
santoscatherine,2023-02-07 01:50:03.000000,374.51
hgibson,2023-03-17 10:00:12.000000,314.74
timothy05,2023-02-25 22:15:05.000000,107.13
jenny27,2022-12-19 08:24:05.000000,84.15
claytonhodge,2023-04-05 09:20:32.000000,923.21
kelly32,2022-12-25 05:34:10.000000,826.57
heatherstevens,2023-03-08 08:29:05.000000,229.43
jadams,2023-01-21 06:28:41.000000,450.95
gabriellemontgomery,2023-04-01 22:01:56.000000,367.66
kerrirandolph,2023-01-21 14:13:08.000000,780.3
mhowell,2023-01-22 11:19:29.000000,295.83
thomas27,2023-02-12 23:34:43.000000,185.97
rossbarbara,2023-03-16 22:41:22.000000,748.01
kelleybobby,2023-02-28 18:50:09.000000,454.15
marieparsons,2023-03-29 10:16:20.000000,509.19
cookashley,2023-04-06 23:14:07.000000,533.82
gwilson,2022-12-18 08:14:02.000000,931.84
jordanpaul,2023-02-22 15:27:23.000000,913.73
christopherfernandez,2022-12-12 05:41:18.000000,517.12
zburch,2023-02-22 22:13:24.000000,591.28
edwardcain,2022-12-29 20:37:10.000000,682.59
cynthiawilliams,2023-01-15 16:20:38.000000,754.71
annataylor,2023-01-17 12:54:32.000000,541.78
davisgerald,2023-03-26 16:45:52.000000,579.59
brian31,2023-04-06 16:11:54.000000,192.15
davisjessica,2023-01-01 18:32:46.000000,330.58
james60,2023-02-10 07:04:43.000000,148.94
mario46,2023-01-30 05:32:13.000000,466.64
hwolfe,2023-02-24 17:30:16.000000,64.8
marcmoore,2023-02-22 06:38:46.000000,704.96
ncraig,2023-02-02 12:42:23.000000,98.97
michael28,2023-02-12 18:52:30.000000,950.71
bchapman,2023-03-27 08:08:27.000000,742.45
valerielewis,2023-04-07 12:39:01.000000,456.3
wellschristopher,2023-02-16 23:11:53.000000,258.46
cadams,2023-03-06 09:48:28.000000,420.28
robertcooper,2023-03-26 23:10:11.000000,943.24
ochapman,2022-12-18 20:41:35.000000,375.48
kevinterrell,2023-02-01 12:33:19.000000,252.9
benjaminhancock,2023-03-27 12:07:19.000000,577.0
timothy57,2023-02-27 23:04:39.000000,412.98
sarahblackwell,2023-03-29 07:53:36.000000,128.06
jacqueline91,2023-03-20 03:37:11.000000,911.64
stonetheresa,2022-12-26 07:51:39.000000,185.82
marydiaz,2022-12-31 12:20:41.000000,94.79
martinevans,2023-01-21 15:46:29.000000,632.29
victoriasmith,2023-01-11 15:50:00.000000,701.3
farmerkatherine,2023-03-31 14:53:24.000000,824.15
laurie63,2023-01-02 15:29:13.000000,884.29
marywarren,2023-03-17 21:59:31.000000,518.06
nicolechandler,2023-03-11 23:13:05.000000,607.83
amanda50,2023-02-23 07:34:46.000000,878.53
idavis,2023-01-20 01:58:34.000000,52.76
espinozaerin,2023-04-09 15:02:00.000000,263.73
fuenteslance,2022-12-31 04:03:37.000000,271.65
moorebilly,2023-01-06 02:18:13.000000,594.13
scott74,2023-04-04 07:09:20.000000,472.01
sherry28,2022-12-26 10:44:36.000000,274.5
williamsstacey,2023-04-09 16:58:20.000000,246.74
patricia15,2023-02-23 14:10:20.000000,256.83
gsmith,2023-01-30 01:22:12.000000,808.11
alison78,2023-03-24 15:41:39.000000,184.81
michele39,2023-01-27 06:47:55.000000,455.53
kellykemp,2023-01-17 07:36:16.000000,597.2
kaylee62,2023-02-09 11:18:51.000000,209.55
mbrown,2023-01-13 18:55:17.000000,677.24
christopher99,2023-03-30 15:53:05.000000,152.03
madison17,2023-01-08 05:41:55.000000,374.77
laurenmurray,2023-03-11 17:37:55.000000,872.27
ymacias,2023-03-10 12:03:10.000000,526.11
lisawatson,2023-03-06 04:45:33.000000,752.06
dawn93,2022-12-23 11:08:44.000000,907.48
colebrandon,2023-01-16 08:31:51.000000,933.17
barneschristopher,2023-01-16 14:25:17.000000,422.45
millerwendy,2022-12-23 05:11:58.000000,433.95
haley93,2022-12-13 00:04:15.000000,231.02
qpena,2023-01-22 14:19:22.000000,808.99
yvonneschwartz,2023-03-16 08:13:23.000000,848.86
michelle32,2023-02-03 02:59:28.000000,925.45
teresaking,2023-01-13 07:44:50.000000,862.26
matthewsbrian,2023-04-02 00:09:09.000000,967.77
valdezrobert,2023-04-02 11:03:43.000000,332.37
james76,2023-01-20 12:49:53.000000,570.7
wbrandt,2023-02-21 23:25:40.000000,675.58
ladkins,2023-02-28 01:03:01.000000,980.1
tuckerstephen,2023-02-08 14:34:34.000000,416.33
robertanderson,2023-02-01 21:32:38.000000,76.64
johnsonangela,2023-01-27 12:10:29.000000,275.69
michael33,2022-12-16 11:02:12.000000,850.38
john67,2023-01-27 21:48:42.000000,736.78
walkerbarbara,2022-12-29 20:32:11.000000,654.68
charles22,2023-03-05 20:50:34.000000,751.03
qherrera,2023-03-14 00:52:17.000000,988.32
javierchandler,2023-02-20 09:22:56.000000,956.96
ikelly,2023-01-11 15:04:45.000000,317.83
johncox,2023-03-07 05:25:29.000000,447.46
andrew41,2022-12-15 07:42:22.000000,927.94
hjenkins,2023-02-27 04:12:52.000000,231.92
dixonjamie,2023-03-22 14:02:58.000000,951.58
karamaldonado,2023-01-05 17:14:38.000000,859.25
michael18,2023-02-02 20:27:59.000000,265.48
jbrown,2023-01-13 15:24:34.000000,723.92
jason42,2023-01-27 22:19:36.000000,719.53
jonesnatalie,2022-12-30 21:45:03.000000,484.91
wgomez,2023-04-08 02:44:25.000000,886.45
iparsons,2022-12-13 03:45:04.000000,639.2
stevensconnor,2023-01-23 03:10:55.000000,990.63
vespinoza,2023-03-22 01:55:58.000000,524.86
jesseswanson,2023-02-28 20:44:32.000000,908.95
dedwards,2023-01-10 16:50:29.000000,348.08
rhall,2023-02-02 04:37:39.000000,814.95
charles50,2022-12-20 12:07:36.000000,824.15
john34,2023-02-22 03:31:28.000000,705.01
smithbobby,2023-02-27 23:58:47.000000,698.54
ortegakaren,2023-01-24 15:14:15.000000,653.5
youngtravis,2023-02-09 17:29:50.000000,88.62
oliverrenee,2022-12-18 07:00:33.000000,197.23
eevans,2023-01-18 17:12:00.000000,287.76
michael53,2023-04-03 08:24:59.000000,651.06
stephanie56,2022-12-15 19:45:06.000000,400.01
fparker,2023-01-30 22:29:47.000000,559.34
ncooper,2023-01-26 11:57:47.000000,235.98
jason96,2023-03-08 09:02:23.000000,974.24
natalie47,2022-12-17 21:42:33.000000,433.58
omaddox,2023-02-22 11:49:45.000000,255.86
nathaniel63,2022-12-22 13:24:46.000000,987.33
zhernandez,2023-02-25 09:12:47.000000,742.18
toddphillips,2023-03-21 03:19:11.000000,420.32
petersondaniel,2023-02-13 21:01:53.000000,802.05
pamela39,2023-03-29 20:00:47.000000,487.48
jeffrey96,2023-03-27 21:30:55.000000,236.95
campbellkyle,2023-04-06 02:20:46.000000,852.22
markphillips,2023-01-03 09:30:17.000000,415.71
jacksonchristian,2022-12-26 10:50:32.000000,664.34
veronica20,2023-01-07 15:33:25.000000,500.63
joserodriguez,2023-04-08 15:30:49.000000,424.8
erikarice,2023-01-18 18:38:50.000000,278.12
leslie89,2023-01-27 05:53:21.000000,160.18
umitchell,2023-04-09 23:00:27.000000,409.25
ballardmatthew,2023-02-22 03:03:10.000000,118.71
jmiller,2022-12-29 02:58:17.000000,98.38
allison78,2023-01-29 16:56:55.000000,352.74
qcobb,2023-03-30 09:52:45.000000,238.1
carlosshelton,2023-02-23 07:04:00.000000,611.08
alexandriajimenez,2023-01-22 13:55:22.000000,132.33
patrick72,2022-12-25 01:11:24.000000,730.7
ycooper,2023-03-01 10:34:38.000000,359.99
melvinmunoz,2023-02-08 12:22:38.000000,758.08
jennifer21,2023-03-26 09:44:36.000000,614.62
hendrixellen,2023-02-08 13:55:07.000000,556.01
carterkeith,2023-03-11 04:23:00.000000,508.08
heathercarr,2023-01-18 09:29:11.000000,782.49
heather59,2022-12-21 20:08:43.000000,897.24
tabitha19,2023-02-10 12:40:09.000000,755.79
gburke,2023-01-08 11:13:09.000000,593.13
mariah35,2023-03-21 17:28:56.000000,829.99
adamlogan,2023-01-11 20:40:15.000000,731.09
taralambert,2023-02-19 11:14:40.000000,560.97
brandon90,2023-01-01 16:32:53.000000,537.85
stevenbryant,2023-01-23 02:15:51.000000,418.94
xgill,2023-02-23 09:56:54.000000,793.95
dmalone,2023-01-17 20:29:06.000000,937.24
christopher04,2022-12-27 17:10:57.000000,578.19
shaunhensley,2023-02-18 02:12:31.000000,444.68
james80,2022-12-12 14:29:04.000000,168.99
laurasantos,2023-01-30 20:47:49.000000,924.94
cherylhampton,2023-02-07 01:18:12.000000,946.29
coryadkins,2023-03-31 22:28:04.000000,918.33
broman,2023-03-08 02:08:48.000000,962.94
wallacemary,2023-03-01 21:17:02.000000,395.91
patriciapowell,2023-01-30 05:07:32.000000,54.95
guerreropamela,2023-03-29 11:52:16.000000,629.3
dylancarey,2023-04-07 12:15:57.000000,52.83
kevinsanders,2023-03-10 17:35:16.000000,872.11
caitlynfisher,2023-02-15 11:54:18.000000,296.1
gboyer,2023-03-22 22:03:57.000000,434.81
bensonmichael,2023-01-03 11:49:36.000000,625.39
kaylaphillips,2023-02-13 14:49:38.000000,426.22
deborahpugh,2023-01-03 17:26:51.000000,486.72
kimberlyduncan,2022-12-31 02:00:19.000000,530.1
garciajames,2022-12-14 07:17:54.000000,472.03
robertsshannon,2023-01-30 05:49:18.000000,416.38
xgonzalez,2023-03-11 09:08:07.000000,863.64
rodney09,2023-03-01 07:32:26.000000,370.32
frobbins,2022-12-28 11:21:03.000000,451.44
browneric,2023-01-04 11:42:18.000000,904.06
rhammond,2023-02-13 20:20:36.000000,734.12
schmidtheather,2023-02-27 10:12:02.000000,390.51
eparrish,2023-01-23 06:50:40.000000,138.27
qjohnson,2023-02-18 05:07:09.000000,474.29
myersdiana,2023-03-21 03:24:45.000000,445.5
joshua09,2023-04-09 01:49:35.000000,986.07
bryanlawson,2023-01-21 03:02:02.000000,422.27
ywarren,2023-02-17 19:36:20.000000,764.03
larrykoch,2022-12-10 19:56:21.000000,219.72
emilyalvarez,2022-12-27 06:11:47.000000,364.53
gallagheranthony,2023-02-16 16:18:15.000000,815.42
zhoward,2023-03-10 18:05:13.000000,516.58
msanders,2023-02-26 15:16:58.000000,666.01
kjones,2023-01-03 10:04:31.000000,330.92
paul67,2023-03-31 22:29:44.000000,377.49
elizabethfrazier,2023-01-11 12:44:07.000000,386.17
melissa10,2022-12-11 17:38:09.000000,93.85
kberg,2023-03-11 21:58:28.000000,151.18
eric59,2023-02-15 06:25:27.000000,255.09
gmarquez,2023-03-27 13:48:43.000000,74.33
ypatterson,2023-01-24 18:39:17.000000,928.04
smunoz,2023-01-27 06:50:59.000000,884.95
vmarshall,2023-01-02 17:38:31.000000,931.37
edward39,2023-03-29 22:55:01.000000,821.16
andrewmcdowell,2023-01-31 00:28:25.000000,451.19
toddglover,2023-04-04 14:29:15.000000,76.47
choward,2022-12-28 07:02:12.000000,731.18
hessgrace,2023-03-14 13:18:16.000000,260.09
caroline06,2023-04-08 05:28:07.000000,706.88
jonesrobert,2022-12-26 06:26:37.000000,664.81
christopherhernandez,2022-12-19 13:14:23.000000,107.37
tstevens,2023-04-09 01:32:21.000000,709.8
donaldjimenez,2023-04-04 06:23:03.000000,141.62
lauramatthews,2023-03-29 12:41:27.000000,428.5
maria90,2023-03-20 03:57:33.000000,615.1
barbarabrooks,2023-04-07 14:56:24.000000,360.17
stacysmith,2023-04-05 10:14:08.000000,828.76
michaelcarter,2023-01-05 10:58:21.000000,793.85
tapiabrenda,2023-02-13 21:01:40.000000,647.71
monicasantana,2023-01-18 10:11:48.000000,286.46
josephmolina,2023-02-08 15:27:20.000000,745.68
smithkristy,2022-12-15 10:06:12.000000,848.52
fpeterson,2023-02-14 14:56:47.000000,274.94
aimeelopez,2023-03-17 19:57:26.000000,304.6
jesseorr,2023-01-03 14:47:27.000000,826.87
tyronealexander,2022-12-23 09:11:58.000000,925.72
hfrank,2023-03-03 14:55:40.000000,823.47
fitzgeraldchristina,2023-03-07 16:12:15.000000,852.22
robert08,2023-01-23 23:56:19.000000,442.79
lance77,2023-03-12 02:11:50.000000,109.27
brownkatherine,2023-02-22 15:39:00.000000,779.72
efoster,2023-03-15 10:16:30.000000,255.53
pattersonmarilyn,2022-12-28 15:41:21.000000,305.86
megan13,2023-02-25 08:03:14.000000,329.08
cohenstacy,2023-01-08 06:00:46.000000,224.8
gordontaylor,2023-02-17 22:33:51.000000,740.72
whiteangela,2022-12-13 00:52:19.000000,99.43
colemandawn,2023-02-22 19:10:29.000000,535.98
lisa46,2023-01-02 13:44:49.000000,230.46
natalie38,2023-03-04 06:43:47.000000,351.07
mnichols,2023-01-06 13:01:27.000000,441.02
april83,2022-12-30 18:26:00.000000,251.67
maryanderson,2023-01-03 15:36:21.000000,296.3
charles56,2023-03-26 05:31:11.000000,349.4
ksanchez,2023-01-30 15:35:01.000000,963.17
lcarter,2023-02-18 00:00:26.000000,423.29
josephpage,2023-02-13 04:16:41.000000,577.97
opoole,2023-01-07 05:45:06.000000,561.04
james13,2023-03-30 21:40:02.000000,57.41
brittanycooper,2023-01-31 06:19:38.000000,713.05
williamscynthia,2023-04-03 03:03:37.000000,644.22
mlawrence,2023-02-14 13:47:41.000000,234.3
amyers,2023-01-23 18:37:20.000000,269.06
michaelhunter,2023-01-09 06:50:07.000000,697.72
pamhoffman,2023-02-03 07:17:32.000000,260.1
mark96,2023-03-08 12:22:59.000000,188.97
charles52,2023-01-15 17:41:54.000000,525.29
dorothy99,2023-02-13 20:40:18.000000,274.62
smartinez,2023-02-08 21:38:11.000000,785.78
anna51,2023-01-06 06:10:12.000000,537.3
bookerpatrick,2023-01-12 01:42:40.000000,932.09
darlenebradley,2023-01-08 06:59:59.000000,284.43
mccarthyjames,2022-12-29 06:50:43.000000,645.4
karl63,2023-01-13 06:38:33.000000,509.43
brooke83,2022-12-16 00:39:31.000000,186.11
taylor69,2023-01-02 11:11:16.000000,181.64
brownmark,2023-02-24 15:46:35.000000,835.78
rrodgers,2023-01-29 01:51:04.000000,580.93
jimchapman,2023-03-26 09:35:34.000000,636.9
edwardskim,2023-03-11 05:56:46.000000,172.58
reneevargas,2023-02-21 23:50:39.000000,363.0
karen27,2023-02-15 04:45:03.000000,775.01
lindsayvance,2023-03-22 08:14:32.000000,71.48
stacy74,2023-02-02 02:10:42.000000,114.73
joannaparker,2023-03-05 02:35:26.000000,821.9
griffithjessica,2023-02-22 22:41:07.000000,714.97
rodneyjimenez,2023-01-07 17:38:01.000000,476.17
phillipsjennifer,2023-01-23 06:45:22.000000,492.93
xwilson,2023-03-17 21:59:18.000000,297.23
leemanuel,2023-03-18 10:27:18.000000,102.55
lroberson,2022-12-25 14:59:53.000000,110.57
payneanthony,2022-12-18 04:53:03.000000,135.46
rosecraig,2023-03-01 01:29:36.000000,399.95
angela99,2023-04-04 07:28:08.000000,868.75
yscott,2022-12-29 06:25:43.000000,895.81
glove,2022-12-15 06:19:27.000000,450.57
savagerobert,2022-12-14 23:01:03.000000,265.65
uanderson,2023-02-07 15:01:27.000000,140.34
pharding,2022-12-12 23:32:05.000000,773.73
khall,2023-01-17 18:34:13.000000,991.66
joseph50,2023-01-07 17:28:22.000000,529.38
vwarner,2023-02-24 12:39:10.000000,268.07
adamnunez,2023-01-18 22:55:41.000000,136.55
jefferybrown,2023-02-12 14:32:50.000000,553.89
justin65,2023-04-09 19:18:02.000000,812.1
marshallselena,2023-01-17 10:08:19.000000,514.0
ryan42,2023-03-12 14:40:55.000000,534.17
grantjennifer,2023-01-21 02:33:56.000000,575.39
hooderika,2023-02-09 14:00:38.000000,420.85
hannahlucas,2023-03-05 07:24:00.000000,522.16
hollandjoshua,2023-01-28 16:26:59.000000,369.61
gramos,2023-01-13 14:28:16.000000,58.86
davidandersen,2023-02-10 00:47:20.000000,782.29
ibarker,2023-03-24 19:35:17.000000,773.96
sarahkelly,2023-03-28 08:05:30.000000,811.87
janetcrawford,2023-02-03 17:27:07.000000,959.89
lindsaylewis,2023-01-04 14:39:04.000000,653.3
martinezchristina,2022-12-19 00:27:05.000000,681.99
aatkinson,2023-03-01 17:39:53.000000,291.04
reyesjonathan,2023-03-31 18:08:22.000000,337.08
bbuck,2023-01-12 19:24:46.000000,639.33
rebecca96,2023-03-28 16:20:07.000000,805.18
cynthia63,2023-01-01 17:50:11.000000,153.35
teresagraham,2023-02-10 05:45:47.000000,445.18
fcarter,2023-02-25 22:58:15.000000,152.35
taylorgarcia,2023-03-28 07:44:17.000000,720.87
jill60,2023-01-25 14:22:52.000000,669.08
thompsonstuart,2023-02-18 01:46:36.000000,882.1
carolyn05,2023-01-28 16:02:16.000000,441.77
carrievalenzuela,2023-03-13 23:25:11.000000,236.33
sharonmelendez,2023-02-22 22:47:33.000000,366.22
julia95,2023-01-07 00:11:06.000000,97.25
mollybean,2023-02-05 15:33:04.000000,745.57
bryan41,2023-02-12 17:21:36.000000,127.84
markyoung,2023-02-08 22:25:02.000000,961.88
matthewmartin,2022-12-25 11:51:53.000000,796.3
johnsonelaine,2022-12-16 19:49:44.000000,610.4
wrobinson,2023-03-15 02:41:14.000000,578.02
pattersonmegan,2023-04-08 16:35:31.000000,74.3
shawgary,2023-03-15 19:26:11.000000,642.76
abigail49,2023-03-24 10:11:20.000000,270.23
robertrobinson,2023-03-01 08:59:37.000000,526.14
jonathanmiller,2023-02-18 03:25:00.000000,952.7
adamcurry,2023-02-06 16:13:59.000000,208.45
ricardo09,2023-02-21 04:19:56.000000,524.3
guy36,2023-02-16 15:00:12.000000,466.92
qbond,2022-12-14 23:55:21.000000,979.78
rdean,2023-01-21 10:11:58.000000,232.08
christophergalvan,2023-03-01 23:37:49.000000,859.18
fmurphy,2022-12-27 13:22:16.000000,861.84
feliciasantiago,2023-01-14 02:27:06.000000,226.97
zrobinson,2023-02-06 01:53:03.000000,740.31
kimberly93,2023-03-26 07:02:27.000000,161.76
francisjeanette,2023-04-07 14:07:37.000000,507.49
zgarza,2023-03-26 23:37:32.000000,413.7
fthomas,2022-12-15 07:47:59.000000,686.89
emartin,2023-01-13 10:35:30.000000,843.7
rojasrodney,2023-02-14 01:35:40.000000,167.3
romeromichael,2023-02-02 10:58:44.000000,65.72
belltiffany,2023-03-04 06:00:11.000000,791.43
daniel05,2023-02-04 08:11:23.000000,397.28
delgadojulie,2022-12-13 09:49:59.000000,814.88
cwagner,2023-01-01 01:45:44.000000,161.4
vanessa28,2023-04-08 07:06:00.000000,82.18
jeffreyaguirre,2023-03-29 12:23:04.000000,291.42
antonio12,2023-03-21 00:36:18.000000,288.28
yhawkins,2023-01-18 06:44:04.000000,542.03
ebuchanan,2022-12-18 16:45:13.000000,596.01
spencer50,2023-01-22 05:59:40.000000,880.23
jessicaherring,2023-03-06 23:40:51.000000,67.01
austin10,2023-02-19 03:39:48.000000,65.98
ray49,2023-02-24 05:35:09.000000,61.95
zmccullough,2023-01-23 11:03:44.000000,990.35
tina88,2023-02-13 23:54:02.000000,542.47
barbara95,2023-02-19 05:59:50.000000,385.34
tmurray,2023-03-13 11:33:02.000000,798.38
cindyhudson,2023-01-15 17:56:50.000000,364.06
johnferguson,2023-04-03 04:30:41.000000,629.28
fischerdavid,2023-04-06 10:33:58.000000,805.01
beckamy,2023-01-08 00:57:24.000000,140.22
fmckenzie,2022-12-13 22:14:28.000000,983.15
amanda69,2023-02-25 14:59:16.000000,886.81
christopher67,2022-12-31 20:37:47.000000,524.65
alexasteele,2023-02-06 13:16:10.000000,910.77
fgarrison,2023-02-21 03:12:03.000000,197.7
adriennehamilton,2023-01-02 03:32:56.000000,364.6
mirandarebecca,2023-02-24 01:06:24.000000,188.62
janetanderson,2023-03-17 23:01:27.000000,263.46
travischarles,2023-04-03 03:31:26.000000,407.8
matthew35,2023-03-18 21:00:39.000000,973.36
bakerkatie,2023-03-29 22:00:55.000000,197.03
shelbybrown,2022-12-16 03:44:58.000000,771.85
zmaldonado,2023-03-23 10:29:50.000000,81.18
jamesparker,2023-03-05 17:52:28.000000,366.2
roberta22,2023-03-09 16:23:26.000000,225.41
deborah40,2022-12-23 02:05:17.000000,470.53
victoredwards,2023-03-29 16:01:42.000000,588.19
bwilliams,2022-12-12 08:24:29.000000,504.96
martinezmelanie,2022-12-25 13:53:17.000000,885.46
penaclaudia,2023-02-19 09:31:28.000000,54.11
tami17,2022-12-10 14:04:04.000000,175.43
michael68,2023-01-09 02:09:33.000000,755.58
ipena,2023-04-02 02:16:47.000000,605.5
stephanie29,2023-02-18 04:29:12.000000,628.22
dballard,2023-01-25 20:54:04.000000,914.38
lfarrell,2023-01-27 02:55:33.000000,583.26
lamblisa,2022-12-26 02:59:35.000000,328.46
natalieboyd,2022-12-25 23:02:56.000000,88.69
carolynsmith,2023-03-05 02:08:14.000000,430.92
lanestanley,2023-03-28 15:22:21.000000,79.83
shawn07,2022-12-29 03:49:54.000000,946.29
benjamin20,2023-03-03 02:55:12.000000,972.29
sbrowning,2023-02-19 05:16:52.000000,152.92
racheljohnson,2023-01-02 03:29:16.000000,64.24
qwilliamson,2022-12-23 04:11:17.000000,651.69
brittney72,2023-04-02 21:25:52.000000,108.47
robert83,2023-01-06 14:24:35.000000,266.47
kimberlymcneil,2023-03-25 09:58:34.000000,526.74
christina60,2023-01-25 06:21:55.000000,910.53
pearsondavid,2023-02-05 21:58:43.000000,515.96
bbell,2023-04-03 15:49:42.000000,156.18
weeksjanice,2023-01-29 03:57:39.000000,499.93
davidcoffey,2023-01-26 17:53:42.000000,589.22
bowmanmatthew,2023-03-20 16:48:23.000000,511.97
burnsrhonda,2023-03-25 08:41:27.000000,479.05
robertsharp,2023-04-07 01:27:07.000000,210.61
mary68,2023-03-01 13:38:42.000000,638.91
brianlewis,2023-03-17 10:35:27.000000,638.03
davidmorgan,2023-01-04 22:38:13.000000,335.58
craig03,2023-01-17 19:27:48.000000,678.3
kunderwood,2023-01-14 18:21:40.000000,326.58
roberthahn,2023-03-02 03:55:46.000000,932.39
fmartin,2023-01-26 14:09:46.000000,314.29
vanessa81,2023-03-27 17:33:58.000000,140.85
escobarjesse,2023-03-16 16:30:10.000000,675.0
marvin41,2023-03-04 03:35:55.000000,994.57
petersbrian,2023-03-26 23:48:21.000000,984.78
williamsdustin,2023-02-13 07:57:29.000000,486.78
smack,2023-01-04 10:03:50.000000,146.64
christopher10,2023-04-09 08:32:24.000000,481.96
zgilbert,2023-04-02 20:35:31.000000,452.89
rharmon,2023-01-04 17:22:33.000000,967.9
joshua20,2023-03-15 18:53:10.000000,849.16
sotorobert,2023-02-13 15:43:20.000000,501.06
markbaird,2022-12-26 17:14:06.000000,536.74
christian63,2022-12-11 20:07:24.000000,732.07
melissa96,2023-03-05 07:25:45.000000,295.76
ashleylawrence,2023-01-19 11:33:54.000000,766.78
mirandamann,2023-02-22 08:26:34.000000,595.04
matthewbell,2023-03-11 00:40:05.000000,746.56
markrodriguez,2023-02-14 17:00:38.000000,803.07
becky79,2023-02-21 01:29:05.000000,534.31
bmichael,2023-03-31 20:34:33.000000,216.33
kayla41,2023-03-11 19:22:24.000000,933.83
jmcintyre,2023-04-01 20:48:38.000000,133.99
joseph75,2023-02-06 08:54:28.000000,162.17
taylorjason,2023-03-23 13:38:55.000000,472.84
laura23,2022-12-11 07:05:25.000000,972.43
alewis,2023-02-21 17:11:08.000000,116.05
uwarren,2023-03-01 09:28:24.000000,397.16
steve39,2023-04-08 13:58:16.000000,423.82
hallcarol,2023-02-17 11:52:16.000000,506.55
lopezdorothy,2022-12-25 09:01:09.000000,328.54
uscott,2023-03-28 20:35:30.000000,557.65
timothybrown,2023-02-04 06:36:43.000000,612.41
zburch,2023-02-23 09:42:30.000000,710.33
lori05,2023-03-16 07:53:02.000000,705.56
qbond,2022-12-14 10:28:48.000000,408.36
heathersmith,2023-03-28 02:32:36.000000,85.61
davisgerald,2023-03-27 06:00:24.000000,477.52
weeksjanice,2023-01-29 13:40:04.000000,621.86
bellmichael,2023-03-23 08:55:41.000000,586.21
kjohnson,2023-01-03 18:03:50.000000,430.48
mnichols,2023-01-05 13:09:32.000000,156.1
anna51,2023-01-05 07:58:12.000000,955.14
stacy98,2022-12-30 10:53:56.000000,817.13
christinakim,2023-02-25 03:05:37.000000,803.61
michaelfuller,2023-02-12 05:24:03.000000,176.96
phillipsjennifer,2023-01-24 12:36:53.000000,337.51
glove,2022-12-14 18:20:49.000000,396.97
qpena,2023-01-21 09:43:11.000000,244.22
laura23,2022-12-12 10:08:36.000000,159.41
bradley99,2023-04-04 19:41:51.000000,360.17
charles22,2023-03-06 08:30:16.000000,151.18
adamnunez,2023-01-21 09:10:26.000000,469.76
ashleygonzalez,2023-01-28 03:37:15.000000,978.27
tmurray,2023-03-14 05:54:13.000000,808.68
jdaugherty,2023-03-20 12:07:44.000000,207.97
taylorgarcia,2023-03-27 12:21:10.000000,828.98
cruzchristine,2023-04-03 10:17:38.000000,98.72
carlosshelton,2023-02-24 07:16:27.000000,435.85
thompsonstuart,2023-02-17 19:24:07.000000,88.85
ballardmatthew,2023-02-22 06:46:41.000000,102.73
wtaylor,2023-01-25 04:47:36.000000,201.58
jesseswanson,2023-02-28 08:27:35.000000,790.8
andersonriley,2022-12-30 18:31:34.000000,516.65
johnsonlaura,2022-12-31 22:42:12.000000,97.39
juliaballard,2023-01-20 03:32:41.000000,113.52
jamesadams,2023-02-23 12:14:06.000000,149.73
alexisward,2023-03-31 04:05:02.000000,259.55
vespinoza,2023-03-22 15:22:34.000000,198.73
wallacemary,2023-02-28 23:19:06.000000,113.26
jeffrey96,2023-03-29 01:21:44.000000,384.03
austin10,2023-02-21 10:28:22.000000,691.95
luceromolly,2022-12-24 19:03:47.000000,389.9
april83,2022-12-30 17:24:12.000000,305.25
jennyfowler,2023-02-13 08:01:29.000000,307.47
valerielewis,2023-04-08 14:31:26.000000,416.76
stephen91,2023-03-14 03:42:43.000000,167.66
james76,2023-01-20 20:32:55.000000,945.41
stacy74,2023-01-31 07:19:41.000000,787.51
matthewmartin,2022-12-26 09:46:10.000000,137.6
hendrixellen,2023-02-07 18:51:27.000000,788.18
